DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/01/2017,8:50,QUEENS,11692,40.593124,-73.79147,"(40.593124, -73.79147)",BEACH CHANNEL DRIVE             ,BEACH 62 STREET,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3643730,PASSENGER VEHICLE,,,,
04/01/2017,8:45,,,40.60563,-74.14071,"(40.60563, -74.14071)",WOOLLEY AVENUE                  ,WESTWOOD AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3643283,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/01/2017,8:45,,,40.64507,-73.95803,"(40.64507, -73.95803)",FLATBUSH AVENUE                 ,BEVERLEY ROAD,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3646037,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/01/2017,8:45,QUEENS,11415,40.70406,-73.82445,"(40.70406, -73.82445)",127 STREET                      ,METROPOLITAN AVENUE,,0,0,0,0,0,0,0,0,View Obstructed/Limited,Unspecified,,,,3643447,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/01/2017,8:42,,,40.74327,-73.961464,"(40.74327, -73.961464)",,,,0,0,0,0,0,0,0,0,Following Too Closely,,,,,3643757,PASSENGER VEHICLE,,,,
04/01/2017,8:40,,,40.605732,-73.985016,"(40.605732, -73.985016)",KINGS HIGHWAY                   ,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3643042,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/01/2017,8:35,,,40.61467,-73.92809,"(40.61467, -73.92809)",FLATBUSH AVENUE                 ,FILLMORE AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3644081,PASSENGER VEHICLE,,,,
04/01/2017,8:30,,,40.72845,-73.84926,"(40.72845, -73.84926)",67 AVENUE                       ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3643053,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/01/2017,8:30,BRONX,10467,,,,WHITE PLAINS ROAD               ,EAST GUN HILL ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3650937,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/01/2017,8:28,MANHATTAN,10022,40.759308,-73.9653,"(40.759308, -73.9653)",2 AVENUE                        ,EAST 57 STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3643117,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/01/2017,8:23,QUEENS,11372,40.755875,-73.882454,"(40.755875, -73.882454)",,,85-05     NORTHERN BOULEVARD            ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3642999,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/01/2017,8:15,,,,,,,,LIE                                     ,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3643046,PICK-UP TRUCK,PASSENGER VEHICLE,,,
04/01/2017,8:15,MANHATTAN,10016,40.743824,-73.979515,"(40.743824, -73.979515)",3 AVENUE                        ,EAST 31 STREET,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3643116,SPORT UTILITY / STATION WAGON,,,,
