DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
07/07/2017,13:30,,,40.66786,-73.76656,"(40.66786, -73.76656)",144 ROAD                        ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3706844,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
07/07/2017,13:30,,,40.737553,-73.85089,"(40.737553, -73.85089)",,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,3706698,PICK-UP TRUCK,PASSENGER VEHICLE,,,
07/07/2017,13:30,QUEENS,11360,40.778625,-73.77587,"(40.778625, -73.77587)",BELL BOULEVARD                  ,26 AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3706696,,,,,
07/07/2017,13:35,,,40.73736,-73.99685,"(40.73736, -73.99685)",WEST 14 STREET                  ,,,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,Following Too Closely,Unspecified,,,3707911,PASSENGER VEHICLE,PASSENGER VEHICLE,PICK-UP TRUCK,,
07/07/2017,13:35,BROOKLYN,11207,40.6545,-73.88222,"(40.6545, -73.88222)",VAN SICLEN AVENUE               ,FLATLANDS AVENUE,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,Unspecified,,,3706850,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
07/07/2017,13:37,BROOKLYN,11235,40.588627,-73.94832,"(40.588627, -73.94832)",AVENUE Z                        ,EAST 21 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3707476,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/07/2017,13:38,,,40.678387,-74.00247,"(40.678387, -74.00247)",,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3708358,PICK-UP TRUCK,PASSENGER VEHICLE,,,
07/07/2017,13:40,BROOKLYN,11209,40.631462,-74.0278,"(40.631462, -74.0278)",BAY RIDGE PARKWAY               ,3 AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3706940,PASSENGER VEHICLE,,,,
07/07/2017,13:40,QUEENS,11368,40.750004,-73.86532,"(40.750004, -73.86532)",,,100-02    39 AVENUE                     ,0,0,0,0,0,0,0,0,Unspecified,,,,,3708292,PASSENGER VEHICLE,,,,
07/07/2017,13:40,QUEENS,11378,40.72248,-73.90774,"(40.72248, -73.90774)",,,59-43     57 ROAD                       ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3707779,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
07/07/2017,13:40,,,40.846565,-73.92589,"(40.846565, -73.92589)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Driver Inattention/Distraction,,,,3710184,PASSENGER VEHICLE,,,,
07/07/2017,13:41,BROOKLYN,11203,40.648182,-73.93001,"(40.648182, -73.93001)",UTICA AVENUE                    ,TILDEN AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,Driver Inattention/Distraction,,,,3709972,PASSENGER VEHICLE,,,,
07/07/2017,13:45,BROOKLYN,11213,40.66989,-73.93381,"(40.66989, -73.93381)",SCHENECTADY AVENUE              ,LINCOLN PLACE,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,3709607,PASSENGER VEHICLE,,,,
07/07/2017,13:45,BROOKLYN,11226,40.647903,-73.954956,"(40.647903, -73.954956)",OAKLAND PLACE                   ,ALBEMARLE ROAD,,0,0,0,0,0,0,0,0,Unspecified,,,,,3712147,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
07/07/2017,13:45,QUEENS,11432,40.717804,-73.784904,"(40.717804, -73.784904)",MIDLAND PARKWAY                 ,HENLEY ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3706785,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
07/07/2017,13:45,,,40.862812,-73.907555,"(40.862812, -73.907555)",LORING PLACE NORTH              ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3707002,SPORT UTILITY / STATION WAGON,,,,
07/07/2017,13:46,MANHATTAN,10040,40.856464,-73.9351,"(40.856464, -73.9351)",,,119       OVERLOOK TERRACE              ,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3708907,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
07/07/2017,13:47,QUEENS,11375,40.723633,-73.844826,"(40.723633, -73.844826)",108 STREET                      ,JEWEL AVENUE,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,3706736,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
07/07/2017,14:00,BROOKLYN,11207,40.67189,-73.895874,"(40.67189, -73.895874)",PENNSYLVANIA AVENUE             ,PITKIN AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3706846,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/07/2017,14:00,BROOKLYN,11220,40.645336,-74.02287,"(40.645336, -74.02287)",,,140       58 STREET                     ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3706732,PICK-UP TRUCK,,,,
07/07/2017,14:00,QUEENS,11414,40.66355,-73.84096,"(40.66355, -73.84096)",,,156-33    CROSS BAY BOULEVARD           ,0,0,0,0,0,0,0,0,Backing Unsafely,Backing Unsafely,,,,3706671,PICK-UP TRUCK,PASSENGER VEHICLE,,,
07/07/2017,14:00,QUEENS,11434,40.667084,-73.77524,"(40.667084, -73.77524)",SOUTH CONDUIT AVENUE            ,175 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3706713,PASSENGER VEHICLE,,,,
07/07/2017,14:00,MANHATTAN,10009,40.72605,-73.98354,"(40.72605, -73.98354)",EAST 7 STREET                   ,AVENUE A,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3711010,SPORT UTILITY / STATION WAGON,BICYCLE,,,
07/07/2017,14:00,,,40.688652,-73.84709,"(40.688652, -73.84709)",ATLANTIC AVENUE                 ,96 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3708021,SPORT UTILITY / STATION WAGON,,,,
07/07/2017,14:10,,,40.751976,-73.93197,"(40.751976, -73.93197)",HONEYWELL STREET                ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3707250,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
07/07/2017,14:15,MANHATTAN,10019,40.76534,-73.97755,"(40.76534, -73.97755)",,,120       WEST 58 STREET                ,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3708126,TAXI,,,,
07/07/2017,14:15,QUEENS,11368,40.738068,-73.861046,"(40.738068, -73.861046)",,,98-38     57 AVENUE                     ,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3707862,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,
07/07/2017,14:15,QUEENS,11385,40.700367,-73.906624,"(40.700367, -73.906624)",CYPRESS AVENUE                  ,PUTNAM AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3707777,PASSENGER VEHICLE,,,,
07/07/2017,14:17,BROOKLYN,11207,40.654404,-73.885376,"(40.654404, -73.885376)",,,1044      VERMONT STREET                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3706855,PASSENGER VEHICLE,,,,
07/07/2017,14:17,,,40.664413,-73.88727,"(40.664413, -73.88727)",NEW LOTS AVENUE                 ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3706854,PASSENGER VEHICLE,,,,
07/07/2017,14:20,BROOKLYN,11213,40.665688,-73.939766,"(40.665688, -73.939766)",CROWN STREET                    ,ALBANY AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Passing or Lane Usage Improper,,,,3706752,PASSENGER VEHICLE,,,,
07/07/2017,14:20,QUEENS,11374,40.711845,-73.859764,"(40.711845, -73.859764)",METROPOLITAN AVENUE             ,WOODHAVEN BOULEVARD,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3707784,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
